Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
ESGG,100,0,0.00,0,0.00,136.76,100,0
FEBZ,100,0,0.00,0,0.00,30.47,100,0
FIBR,100,0,0.00,0,0.00,82.12,100,0
MSMR,100,0,0.00,0,0.00,24.09,100,0
PNOV,100,0,0.00,0,0.00,33.65,100,0
SEPZ,100,0,0.00,0,0.00,32.35,100,0
YDEC,100,0,0.00,0,0.00,20.91,100,0
WUGI,93,0,0.00,0,0.00,45.80,93,0
ZECP,93,0,0.00,0,0.00,24.56,93,0
FPRO,89,0,0.00,0,0.00,18.88,89,0
EWGS,87,0,0.00,0,0.00,54.36,87,0
GSID,81,0,0.00,0,0.00,48.62,0,81
IPDP,80,0,0.00,0,0.00,15.70,80,0
OCTD,80,0,0.00,0,0.00,24.02,80,0
XDOC,77,0,0.00,0,0.00,25.50,77,0
BCHP,70,0,0.00,0,0.00,25.38,70,0
IAUF,67,0,0.00,0,0.00,57.48,67,0
XJUL,58,0,0.00,0,0.00,30.52,58,0
ATMP,52,0,0.00,0,0.00,21.39,52,0
BUYZ,50,0,0.00,0,0.00,24.66,50,0
NOVZ,50,0,0.00,0,0.00,33.28,50,0
PSMJ,50,0,0.00,0,0.00,23.43,50,0
PSFM,45,0,0.00,0,0.00,24.35,45,0
DJAN,39,0,0.00,0,0.00,32.85,39,0
IVRA,39,0,0.00,0,0.00,12.49,39,0
DFHY,36,0,0.00,0,0.00,20.07,36,0
IBHH,32,0,0.00,0,0.00,21.87,32,0
IVAL,32,0,0.00,0,0.00,23.27,32,0
QCON,30,0,0.00,0,0.00,39.35,30,0
BAPR,25,0,0.00,0,0.00,35.51,25,0
SEIV,25,0,0.00,0,0.00,25.24,25,0
SMI,25,0,0.00,0,0.00,43.88,25,0
